,Target,features
59,0.0,"(174.51778507232666, 62.357993858419505, 526077, 31502, 0.00666166707683737, 818.4265635813883, -0.4906021429066334, -0.39052066833640786, -0.39219567820211776, 0.6818919524226299, 0.587421130907187)"
60,0.0,"(109.642258644104, 51.182538747362614, 528816, 40783, 0.003995361792352553, 820.5543510875253, -0.5952203130686887, -0.8788857556223786, -1.6255064874557874, -3.3402766946811693, -2.0541162827664423)"
61,1.0,"(81.28717994689941, 63.36420495831918, 511434, 40492, 0.003919773785295851, 806.9560045765093, -0.6304598531130179, -0.2484517437385422, -1.4354695753920086, -0.11083444093353674, -1.4068302394161774)"
62,1.0,"(116.64659690856934, 67.4545845926519, 523287, 32666, 0.006162513650331777, 816.2534542933519, -0.6283198020451524, -0.925103961582449, -2.3371488986914737, -4.7383128055387855, -2.7868862877406673)"
63,1.0,"(126.75742244720459, 69.46206257202459, 527366, 35430, 0.005279340654390202, 819.4286093057796, -0.5282750464323734, -0.5712792776075412, -0.8357901528578332, 1.823671612183531, 0.975977567060249)"
64,0.0,"(139.8134250640869, 49.52989880234646, 531965, 60444, 0.0018297279810505368, 822.9938483458068, -0.871895412578934, -1.101976078895562, -1.0483784500211561, 2.3354049346540067, 1.444264164641429)"
65,1.0,"(115.31717586517334, 73.37081087296345, 518995, 31616, 0.006524679629306401, 812.8991066053806, -0.8958203814970377, -0.6635649397870759, -1.4197836463154312, -3.1234612200707255, -1.738682912926786)"
66,0.0,"(136.1250820159912, 53.286425963827135, 532383, 40256, 0.004128314779291941, 823.3171251375378, -0.8686577576934504, -1.526569646960039, -1.463585872838948, 2.543574362638836, -2.2268573121877826)"
67,1.0,"(130.91592502593994, 75.10727706676965, 524203, 23261, 0.012174541194068533, 816.9675569254917, -0.9013528824954342, -1.6279370478031672, -0.8457472996028836, -1.3216870846478874, 0.6737590616325764)"
68,1.0,"(180.23851108551025, 51.40704771860034, 526178, 44828, 0.003290363079253227, 818.5051234840613, -0.7395757874358936, -1.082987540608597, -1.3997377874727042, -2.9448240059106467, -1.940224455043144)"
69,1.0,"(111.60753536224365, 30.25304949845428, 532429, 68108, 0.001442365452490446, 823.3526932996564, -0.31663501205159467, 0.7812793299742449, -0.966982536555318, -1.3412397044193374, -0.5751372442958622)"
70,1.0,"(100.33575630187988, 56.35514319118147, 528845, 31770, 0.006584212470980364, 820.5768501703343, -1.007743866872074, -1.727582669212557, -0.5428519140022092, -1.2563447959501457, -0.8038325467863029)"
71,1.0,"(140.56310558319092, 66.2209056828522, 523089, 26276, 0.009520657566985686, 816.0990137329977, -1.0246159298321005, -1.1723581298154313, -0.3153559936292808, -1.249281150006527, 0.8911933259581242)"
72,1.0,"(118.44674777984619, 71.39553535223632, 523127, 29454, 0.007577543440613358, 816.1286561067877, -1.0449364955203007, -1.673310570057552, -2.4357088913561067, -5.077983742312053, -3.175310301767925)"
73,1.0,"(146.58551788330078, 73.92187013267095, 514137, 34375, 0.005467682772462889, 809.0856319398475, -0.9193505985146468, -0.6729827542299482, -1.674679565117306, 2.6718927784194246, -0.6497180689307535)"
74,1.0,"(167.5043239593506, 40.98737001570245, 526443, 39515, 0.004236793009031218, 818.7112101644958, -0.8447555150540186, -0.4876109485560963, -0.824958268837162, 1.8433666979553598, 0.5582231238273143)"
75,0.0,"(103.42689895629883, 74.49391777159087, 523380, 26350, 0.00947252473042902, 816.325984471577, -1.2732045970711368, -2.4091782587782933, -1.7489181876471773, 3.9878475768620536, 2.843899802647721)"
76,1.0,"(131.7812910079956, 70.28654593557285, 533597, 31584, 0.0067218525448739545, 824.2553010760978, -0.9979331416236618, -1.584680499535666, -0.9430238774145838, -2.2750591054244604, -1.7284223252062305)"
77,1.0,"(114.42335510253906, 67.50539737034676, 521960, 35506, 0.0052028773598984425, 815.2178314843006, -0.8693280373269332, -1.151588024467164, -1.6959614335101427, -3.6841208492919493, -2.2613798826567066)"
78,0.0,"(110.33456897735596, 63.162848392077535, 532025, 31925, 0.0065596413148764155, 823.0402595181629, -0.8427483175214314, -1.4087543109289524, -2.3002346896002845, -4.357090212379831, -2.987666440731652)"
79,1.0,"(136.9770908355713, 60.62103283418596, 528214, 37642, 0.00468462024631976, 820.087161759492, -0.7491587229377692, -0.5687953630321441, -1.5402662456051588, -2.9207212685224087, -1.6445626584650335)"
80,1.0,"(165.24874591827393, 60.64788517650174, 531010, 32239, 0.006420213039347639, 822.2547845101412, -0.8890982103452292, -0.8193629025673466, -0.8066836596478258, -2.0696263529020946, -0.6768054756727303)"
81,1.0,"(147.20434284210205, 59.781403358717874, 529654, 37458, 0.004743653405725312, 821.2042485442693, -0.8494967592274357, -1.4524295602855035, -0.6283502497335933, -1.3554810705838303, -1.3114519007127339)"
82,1.0,"(100.19259262084961, 40.65949048469159, 510734, 52623, 0.0023176797573192893, 806.4035749181477, 0.5728400759799902, 1.4012596500403813, 4.007807957402428, 8.032303901309914, 4.987616954221668)"
83,0.0,"(124.0327091217041, 60.44353001477339, 520575, 70687, 0.0013092243412500973, 814.1355390845602, -0.6893455581420656, -0.02908156634032749, -1.7403119765431918, 2.6586517292138665, 0.6093367620550779)"
84,1.0,"(174.29402256011963, 41.454829559475016, 528075, 56775, 0.0020586910949605343, 819.9792513143373, -0.795846404281229, -1.3090032349961354, -2.0175768687922715, -4.144933759181084, -2.670538981826308)"
85,0.0,"(149.65582656860352, 56.821843138065056, 532900, 30019, 0.0074312717421298625, 823.7167919797242, -1.0222832947388705, -1.713670323265737, -1.7045710312820759, -3.7936074658180905, -2.4929264092478673)"
86,1.0,"(107.39863204956055, 35.25072074583204, 521224, 64802, 0.0015597588166281913, 814.642871732786, -0.5860900415279424, -0.18791313685941266, 0.6284488415503096, 1.4103738335037113, 0.6732062101273163)"
87,0.0,"(86.06654357910156, 71.89009957874299, 444151, 28381, 0.006929232296145832, 752.004399610579, -0.9991667015772241, -1.2039042510225197, -2.492833217001415, -4.803207861416561, -2.529716514783607)"
88,0.0,"(110.48474597930908, 48.105779341983926, 531995, 31576, 0.0067050680179824, 823.0170542591344, -0.814833799477393, -0.9627880956473861, -1.096548545483199, 2.3796175857386017, 1.3966545689986836)"
89,0.0,"(123.08774471282959, 52.13723883692361, 530266, 43835, 0.003467860538590367, 821.678550546706, -0.6892081782506791, -0.8055240830200529, -0.45255573430968477, 0.5361427226797206, 0.8538065222715596)"
90,0.0,"(164.52447032928467, 57.298787731274146, 530493, 30917, 0.0069742069406118785, 821.8544066957302, 0.6628991096704568, 2.4837995613043367, 3.5434828702789716, -6.681675691625563, -4.802620310131387)"
91,0.0,"(148.4685182571411, 61.8575955410319, 524783, 43974, 0.0034103399910252485, 817.4193954175255, 0.05428892133395821, 1.7725423215294909, 0.37094333505538624, -1.7113974084953552, -1.3543064231516804)"
92,1.0,"(134.29919815063477, 47.90406263764591, 522354, 49679, 0.002659678228448735, 815.5254558568919, 0.5743414532086576, 1.3837425372069598, 5.8067576070117495, 10.74777792913563, 6.623602654219193)"
93,0.0,"(154.81607246398926, 43.89559800107458, 533941, 52861, 0.002401222395499801, 824.5209492520112, -0.5631860874785495, -0.5467490992825502, 0.06513369023023363, -0.022056129402125767, -1.2773857710303946)"
94,1.0,"(121.0722770690918, 62.620490364948715, 529485, 42142, 0.003746564725041134, 821.0732247151271, -0.6450227642499933, -0.9723192861669987, -1.5443950617808462, -3.0598003048216116, -2.019296383968904)"
95,1.0,"(136.28792190551758, 64.31695736988001, 533870, 43242, 0.003587846350999048, 824.4661277140265, -0.08778802622702626, 0.4859415105114244, -0.3932323711993504, -0.6768544750520171, 0.0005160508699878018)"
96,1.0,"(113.38528537750244, 69.18883864821059, 518010, 39207, 0.004234681799948573, 812.127340118692, -0.5682337263840037, -0.47847882397408625, -1.400230455412958, -2.8906633803628043, -1.6198061858364519)"
97,1.0,"(101.57544898986816, 72.10285974119802, 519707, 36203, 0.004982867166205594, 813.4565164012624, 0.5607739373844423, 1.3446273601931436, 4.164694960342685, -7.958063941097414, -4.9785378566760885)"
98,1.0,"(118.08341407775879, 63.07933848050716, 525710, 37991, 0.004577144800532961, 818.1410398352612, -0.933232102882764, -1.5099597102191757, -0.3660660527366048, -0.6006118461196568, 0.7194763612994364)"
99,0.0,"(107.755051612854, 67.74496993604022, 524587, 59584, 0.0018568126151835738, 817.2667331134829, -0.2360586317780121, -0.2648718950695095, 0.5268256494819937, 0.8309457503681008, 0.4176712962321584)"
100,0.0,"(119.70497035980225, 57.88013361608534, 522975, 44826, 0.0032706255041888, 816.010080150896, -0.6303890920676577, -0.904468727340718, -0.22415628574628962, 0.17340540395720702, -0.41790527325735705)"
101,0.0,"(139.19007682800293, 63.054062745154944, 528920, 30663, 0.007069204858622607, 820.6350345929195, -0.8939826249137268, -1.4826153415049825, -1.9602431952057282, -4.090346976092743, -2.588452646248061)"
102,1.0,"(130.14234352111816, 65.64219347356439, 524978, 36680, 0.0049033434498972584, 817.5712505439366, -0.9354759850619367, -1.2008092416708738, -1.7418147456374784, -3.3920154458283283, -2.3409561572066773)"
103,1.0,"(153.6645965576172, 58.24304907547955, 526381, 40490, 0.004034730351146709, 818.6629983071421, -0.25170443061730285, 0.4505157847683741, -0.6678709029465729, -1.040816852490822, -0.2761230146693539)"
104,1.0,"(166.13140201568604, 58.71357620429954, 520081, 34258, 0.005568738724719364, 813.7491601626439, -1.1278331469469571, -2.040294505727504, -1.85870401695754, -3.601486227124197, -2.87697842949546)"
105,1.0,"(129.33577919006348, 66.94041567242964, 524865, 42982, 0.003570131703439632, 817.4832558819912, -0.7378291302157064, -0.9490458349689919, -1.1284601798707554, -2.4387586180643557, -0.784541853562594)"
106,0.0,"(112.98568725585938, 65.81370131215357, 525255, 63498, 0.00163704254431231, 817.7869142202435, -0.9587829833734594, -1.5944847294233075, -1.908743135767922, 2.9958160115743664, -2.510060426196872)"
107,0.0,"(115.81573963165283, 46.27984668394286, 527860, 69493, 0.001373556398854605, 819.8123114981275, 0.5298547964435106, 1.381530991803552, 3.0289949888671157, 6.295558016417976, -4.227209929753192)"
108,1.0,"(94.61555576324463, 73.02201250243469, 507282, 40641, 0.003859495557748587, 803.6737539153203, -0.967404346858831, -1.674771364721016, -2.299993420261589, -4.723119385599761, -3.1372113523890004)"
109,0.0,"(96.49051666259766, 55.31012976528344, 520427, 84943, 0.0009063887227107554, 814.0198010785035, -0.5505856744552039, -0.9812083051684095, -1.6543219129477382, -3.370824709993939, -2.143345824336723)"
110,1.0,"(139.5338077545166, 45.92931401518382, 523646, 52801, 0.002360279090225593, 816.5334008124769, -0.8171401260216857, 1.0682480639500893, -0.6997137546457345, 1.4861189598597453, -1.4058728928251578)"
111,0.0,"(92.05140399932861, 66.4362091934758, 511635, 52820, 0.0023044819794336476, 807.1145609333132, -0.8312353480340975, -1.5304380739138876, -1.5830326824128589, -3.3039523180145296, -2.331521498655742)"
112,1.0,"(103.2335615158081, 71.02666841693609, 516643, 40232, 0.004011041619099854, 811.0550524536598, 0.6048769149174618, 1.5222079361329046, 4.110512225278576, -7.931757538808924, -4.87691356827513)"
113,1.0,"(102.93509864807129, 74.06872707024684, 514678, 30524, 0.0069416478626144725, 809.5111996786728, -1.04948953829463, -1.7929104986241, -2.840480234729154, -5.827523505662869, -3.701605226184524)"
114,1.0,"(115.18138599395752, 65.26305089291803, 523352, 37146, 0.004766281004925483, 816.3041481067194, -0.8076350645834326, -0.391524195864671, -0.6304537999175749, -1.737610593181657, -0.718336592433058)"
115,1.0,"(141.12158203125, 51.73184226244215, 519794, 49106, 0.0027087692280915246, 813.5246006827754, 0.509785295914159, 3.472987393044903, 3.204574370768305, -6.9702108699421945, -4.959869777350943)"
116,0.0,"(150.87928199768066, 61.447171722037474, 525828, 31827, 0.006523222078858178, 818.232853978011, -0.8445813809988927, -1.0649816181008933, -1.8634121365668572, -3.778014667628885, -2.390006815633692)"
117,1.0,"(123.22934627532959, 63.41217658715815, 525188, 41137, 0.0038999534650571255, 817.7347552968325, -0.4161225264783876, 0.3410427931385485, -0.9695208235981244, -1.7690606009524128, -0.4363744940924869)"
118,0.0,"(136.9396104812622, 49.12002611051742, 529450, 50139, 0.0026465705825141172, 821.0460869890508, 0.5169777871609692, 1.6360595464463805, 2.506421997310088, -4.684770699785958, -3.4686138246749105)"
119,0.0,"(121.10972309112549, 56.048835620382945, 529298, 24633, 0.010961639200884781, 820.9282213136738, -0.7921412228107115, -1.1592922206635592, -1.4519822265069533, -2.375150806789892, 0.8803196466114341)"
120,0.0,"(133.51187133789062, 62.670745042249834, 525228, 50613, 0.0025765203328659975, 817.765895352796, 0.012015990479155412, 0.29375150858847754, -0.06910624347112726, -0.15439185228185676, 0.08907720382596142)"
121,1.0,"(107.09127998352051, 74.93665632819841, 504189, 36524, 0.004749485456528186, 801.2199278727888, -0.7649346858171748, -0.806835838344274, -1.5036431192145936, -3.0707187176588513, -1.8509974474068407)"
122,1.0,"(94.31201076507568, 59.07326731046961, 517687, 39765, 0.004114102898370348, 811.8741036609754, -1.3220936951771658, -2.472209549511556, -3.219773227288614, -6.618689825135557, -4.362668204741524)"
123,1.0,"(162.44844818115234, 59.622210241946135, 524328, 33144, 0.005997953214487941, 817.0649570333429, 0.44422048152675186, 1.020135826501454, 3.5628907836609227, 6.945380048858026, 4.799309999736154)"
124,1.0,"(118.31335544586182, 70.29009065100708, 518152, 39978, 0.004074036499360402, 812.2386450936781, -0.7974499961165247, -1.1440742502376742, -1.4562055464166905, -3.128546775045445, -1.943715264428943)"
125,0.0,"(133.13392734527588, 57.13095571895663, 528817, 52486, 0.0024122833534315036, 820.5551269282366, -0.5287182659116685, 0.04079277364071545, -0.588995007932015, 1.0960829012521531, 0.4678577893142638)"
126,0.0,"(155.69353485107422, 50.6071578509049, 532035, 18280, 0.020007723851354874, 823.0479944591156, -0.9667182103682931, -1.7878285844702009, -2.642539378533898, -5.333359032536336, -3.527277104585265)"
127,0.0,"(145.75769138336182, 54.2360888586503, 528969, 60160, 0.001836641655470982, 820.6730461877095, -0.7284674579713801, -1.295023924124881, -1.7346054517815874, -3.40812752725909, -2.378424945530959)"
128,1.0,"(107.13690185546875, 69.07634773351195, 522139, 36349, 0.004966049706304466, 815.3576041519899, -0.9539833870546832, -0.9890308757946453, -2.5309797200371382, -5.194739287299422, -3.024282999772125)"
129,1.0,"(101.58817958831787, 42.67837116992195, 517221, 50113, 0.0025881247671581706, 811.5086139822951, -0.631672383204212, -0.8284986292616072, -0.7669483532251332, -1.6368116486167208, -1.1804720038006935)"
130,1.0,"(124.28585243225098, 72.08916393099786, 521170, 37262, 0.00471690304582933, 814.6006712062203, -0.6845859093423051, -0.3173077007034456, -1.1251610132683552, -1.9255652218821626, -1.2557639282922632)"
131,0.0,"(114.88304424285889, 44.05942716120513, 531135, 37941, 0.004636574457207821, 822.3515583939211, -0.8542546784826697, -1.5489631623613476, -2.13604876340756, -4.165708524021036, -2.9049398563467843)"
132,0.0,"(57.024295806884766, 71.78255827837918, 375470, 26442, 0.006748332999389608, 691.4211826822429, 0.7475612554665377, 2.7146022588189354, 5.971978979422653, -11.505643454848597, -7.330694039787408)"
133,1.0,"(113.57619667053223, 69.84702303281983, 526198, 30647, 0.007040169581161849, 818.5206790060671, 0.5611861005087677, 1.3277944129059256, 3.213478618432156, 6.248008035975159, 3.8879282176277106)"
134,1.0,"(166.63006591796875, 64.77457566271255, 527520, 34706, 0.005503508846744552, 819.5482442411143, -0.8809517829142699, -1.105963502041088, -0.9366238130108804, -2.0381048454865156, 0.726940157242017)"
135,0.0,"(153.57223510742188, 58.03322574227926, 523236, 21823, 0.013806340360884795, 816.2136769431444, -1.2726220633229262, -2.4403862811360377, -3.1947457410889113, -6.519327785361581, -4.3384360607194985)"
